sentence,ambigous_word,label,sense
"['നേരം/N_NN', 'വൈകിയപ്പോൾ/V_VM_VNF', 'എല്ലാറ്റിനെയും/N_NN', 'തിരിയെ/N_NN', 'അടിച്ചു/V_VM_VNF_VBN', 'കൊണ്ട്/PSP', 'പോകുന്ന/V_VM_VNF', 'സമയം/N_NN', 'മദ്ധ്യേമാർഗ്ഗം/N_NN', 'വ്യാഘ്രം/N_NN', 'ചാടി/N_NN', 'വന്ന്/V_VM_VNF_VBN', 'പശുവിനെ/N_NN', 'അടിച്ചു/V_VM_VNF_VBN', 'വീഴ്ത്തുകയും/V_VM_VNF', 'കണ്ട/V_VM_VNF_RP', 'ശേ\u200cഷം/N_NN', 'പശുക്കൾ/N_NN', 'വിരണ്ടു/PSP', 'നാലുപുറത്തേക്കും/N_NN', 'ഓടുകയും/V_VM_VNF', 'വ്യാഘ്രം/N_NN', 'അടിച്ചു/V_VM_VNF_VBN', 'വീഴ്ത്തിയ/V_VM_VNF_RP', 'പശുവിനെ/N_NN', 'എടുത്തു/V_VM_VNF_VBN', 'കൊണ്ടു/PSP', 'കാട്ടിലേക്കു/N_NN', 'പായുകയും/V_VM_VNF']",അടി,1,അടിക്കുക
"['അടിക്കപ്പെട്ട/JJ', 'കള്ളൻ/N_NN', 'പരമാർത്ഥമെല്ലാം/N_NN', 'ഉണ്ടായതു/N_NN', 'പോലെ/PSP', 'പറയുകയും/V_VM_VNF']",അടി,1,അടിക്കുക
"['നാല്/QT_QTC', 'പേരും/N_NN', 'തൽക്ഷണം/N_NN', 'എഴുത്തച്ഛന്റെ/N_NN', 'പടിക്കൽ/RD_RDF', 'എത്തുകയും/V_VM_VNF', 'നേരം/N_NN', 'വെളുക്കുന്നത്/V_VM_VNF', 'വരെ/PSP', 'പരസ്പരം/PR_PRC', 'അടിച്ച്/V_VM_VNF', 'കൊണ്ടു/PSP', 'നിൽക്കുകയും/V_VM_VNF']",അടി,1,അടിക്കുക
"['നേരം/N_NN', 'വെളുത്തപ്പോഴേക്കും/V_VM_VF', 'അടി/N_NN', 'കൊണ്ടു/PSP', 'നാല്/QT_QTC', 'പേരും/N_NN', 'അവശരായി/RB', 'തീർന്നു/V_VM_VF']",അടി,1,അടിക്കുക
"['അപ്പോഴും/CC_CCD', 'പരസ്പരം/PR_PRC', 'അടിച്ച്/V_VM_VNF', 'കൊണ്ട്/PSP', 'നിൽക്കുക/V_VM_VINF', 'ആയിരുന്നു/V_VM_VF']",അടി,1,അടിക്കുക
"['അടി/N_NN', 'മതിയാക്കി/V_VM_VNF_VBN', 'യഥാപൂർവം/N_NN', 'പരസ്പരം/PR_PRC', 'സ്നേഹാകുലന്മാരായി/V_VM_VNF_VBN', 'പോവുകയും/V_VM_VNF']",അടി,1,അടിക്കുക
"['ഭൃത്യന്/N_NN', 'ആരോ/RD_RDF', 'ചൂരൽ/RD_RDF', 'വടി/N_NN', 'കൊണ്ട്/PSP', 'അടിക്കുന്നത്/V_VM_VNF', 'ആയി/V_VM_VNF', 'തോന്നുകയാൽ/V_VM_VNF', 'പെട്ടെന്ന്/RB', 'എഴുന്നേറ്റു/RD_RDF']",അടി,1,അടിക്കുക
"['എഴുത്തച്ഛൻ/N_NNP', 'പുല്ലു/N_NN', 'പറിച്ച്/V_VM_VNF', 'എടുത്ത്/V_VM_VNF', 'കൊണ്ട്/PSP', 'രണ്ടു/QT_QTC', 'കാളകൾക്കും/N_NN', 'ഓരോ/QT_QTF', 'അടി/N_NN', 'വച്ചു/V_VM_VNF_VBN', 'കൊടുത്തു/V_VM_VF']",അടി,1,അടിക്കുക
"['തമ്മിൽ/PR_PRC', 'നിസ്സാരസംഗതിക്കായി/V_VM_VNF', 'പിടിയും/N_NN', 'വലിയും/N_NN', 'അടിയും/N_NN', 'ഇടിയും/N_NN', 'വെട്ടും/N_NN', 'കുത്തും/V_VM_VF', 'ഒക്കെ/PSP', 'ഉണ്ടാക്കി/V_VM_VF']",അടി,1,അടിക്കുക
"['എള്ളും/N_NN', 'തേങ്ങയും/N_NN', 'മറ്റൂം/RD_RDF', 'ആട്ടുന്നതിനു/V_VM_VNF', 'ചക്കിൻകണയിൽ/N_NN', 'കെട്ടി/V_VM_VNF', 'അടിക്കുന്നത്/V_VM_VF', 'കാളയെയാണ്/N_NN']",അടി,1,അടിക്കുക
"['മദ്ധ്യഭാഗത്ത്/N_NN', 'പനന്തേങ്ങ/N_NN', 'ഇട്ട്/V_VM_VNF', 'അങ്ങോട്ടും/N_NN', 'ഇങ്ങോട്ടും/N_NN', 'അടിച്ചു/V_VM_VNF_VBN', 'കളിക്കുക/V_VM_VINF', 'ദിക്കുകളിൽ/N_NN', 'സാധാരണം/N_NN', 'ആണ്/V_VM']",അടി,1,അടിക്കുക
"['ഒരിക്കൽ/N_NN', 'അടിച്ച/V_VM_VNF', 'പനന്തേങ്ങ/N_NN', 'അടുത്ത്/N_NST', 'ഉണ്ടായിരുന്ന/V_VM_VNF_RP', 'ചിതൽപ്പുറ്റിന്മേൽ/N_NN', 'ചെന്നു/V_VM_VF', 'കൊണ്ടു/PSP']",അടി,1,അടിക്കുക
"['അടി/N_NN', 'ദേഹത്തിൽ/N_NN', 'കൊള്ളാതെ/V_VM_VNF', 'കൊച്ചുണ്ണി/N_NNP', 'വെള്ളിക്കോലിന്റെ/N_NN', 'തലയ്ക്കു/N_NN', 'കടന്നു/V_VM_VNF_VBN', 'പിടിച്ചു/V_VM_VNF_VBN']",അടി,1,അടിക്കുക
"['അടി/N_NN', 'കൊണ്ട/V_VM_VNF_RP', 'ക്ഷണത്തിൽ/N_NN', 'കാട്ടാന/JJ', 'മരണ/JJ', 'വേദനയോട്/N_NN', 'കൂടി/PSP', 'മൂന്നു/QT_QTC', 'വട്ടം/N_NN', 'ചുറ്റി/PSP', 'നിലം/N_NN', 'പതിച്ചു/V_VM_VF']",അടി,1,അടിക്കുക
"['പിള്ളയ്ക്ക്/N_NN', 'ഒരിക്കലും/RB', 'കൊച്ചയ്യപ്പനെ/N_NNP', 'അടിക്കേണ്ടി/V_VM_VNF', 'വന്നിട്ടില്ല/V_VM_VF']",അടി,1,അടിക്കുക
"['അടിക്കുന്നത്/V_VM_VF', 'എന്തിനാണ്/DM']",അടി,1,അടിക്കുക
"['കൊച്ചയപ്പൻ/N_NN', 'കാട്ടാനയെ/N_NN', 'ചങ്ങല/N_NN', 'കൊണ്ട്/PSP', 'അടിച്ചു/V_VM_VNF_VBN']",അടി,1,അടിക്കുക
"['അയാളെ/N_NN', 'ഇച്ചക്കൻ/N_NST', 'അടിച്ച്/V_VM_VNF', 'കൊന്നത്/V_VM_VNF', 'ആണെന്നു/V_VM_VF', 'ജനങ്ങൾ/N_NN', 'തീർച്ചപ്പെടുത്തുകയും/V_VM_VNF', 'വിശ്വസിക്കുകയും/V_VM_VNF']",അടി,1,അടിക്കുക
"['വച്ചുണ്ടായ/V_VM_VNF', 'പണം/N_NN', 'ശേഖരിച്ച്/V_VM_VNF', 'വെച്ചു/V_VM_VF', 'ക്ഷേത്രത്തിനു/N_NN', 'ജീർണ്ണോദ്ധാരണം/N_NN', 'ചെയ്യിക്കുകയും/V_VM_VNF', 'ചെമ്പു/N_NN', 'പലക/N_NN', 'അടിപ്പിക്കുകയും/V_VM_VNF']",അടി,1,അടിക്കുക
"['അടി/N_NN', 'കൊണ്ട/V_VM_VNF_RP', 'ക്ഷണത്തിൽ/N_NN', 'നിലത്തു/N_NN', 'പതിച്ചു/V_VM_VF']",അടി,1,അടിക്കുക
"['ചെകിടത്ത്/N_NN', 'തൃക്കൈ/N_NN', 'കൊണ്ടു/PSP', 'അടി/N_NN', 'വച്ചു/V_VM_VNF_VBN', 'കൊടുത്തു/V_VM_VF']",അടി,1,അടിക്കുക
"['നാലുപേർ/QT_QTC', 'കൂടി/PSP', 'പിടിച്ചു/V_VM_VNF_VBN', 'കെട്ടി/V_VM_VF', 'അടിക്കട്ടെ/N_NN']",അടി,1,അടിക്കുക
"['പിടിച്ചു/V_VM_VNF_VBN', 'കെട്ടി/V_VM_VF', 'കൊണ്ടു/PSP', 'പോയി/V_VM_VF', 'അടിക്കുകയും/V_VM_VNF', 'അസ്തമിക്കുന്നതിനു/N_NN', 'മുമ്പേ/N_NST', 'അയാളുടെ/PR_PRP', 'കഥ/N_NN', 'കഴിക്കുകയും/V_VM_VNF']",അടി,1,അടിക്കുക
"['കാളയെ/N_NNP', 'അടിച്ച്/V_VM_VNF', 'ഓടിച്ച്/V_VM_VNF', 'പന്തളത്തു/N_NN', 'രാജാവിനെ/N_NN', 'രക്ഷിച്ചു/V_VM_VF']",അടി,1,അടിക്കുക
"['മോതിരം/QT_QTC', 'തട്ടികൊണ്ടുപോയ/V_VM_VNF_RP', 'പരുന്തിനെ/N_NN', 'അടിച്ചു/V_VM_VNF_VBN', 'കൊന്നു/V_VM_VF', 'പിടിച്ചു/V_VM_VNF_VBN', 'വലിച്ച്/V_VM_VNF', 'കൊണ്ട്/PSP', 'ചെന്നു/V_VM_VF']",അടി,1,അടിക്കുക
"['അപ്പോഴേക്കും/N_NST', 'കുട്ടി/RD_RDF', 'ആരോ/RD_RDF', 'അടിച്ചിട്ടെന്ന/V_VM_VNF', 'പോലെ/PSP', 'ഞെളിഞ്ഞു/V_VM_VNF_VBN', 'പിരിഞ്ഞ്/V_VM_VNF', 'ഉറക്കെ/RB', 'കരഞ്ഞു/V_VM_VF']",അടി,1,അടിക്കുക
"['കുരങ്ങന്മാർ/N_NN', 'ശാന്തിക്കാരനെയും/N_NN', 'ദേവസ്വക്കാരനെയും/N_NN', 'അടിക്കുകയും/V_VM_VNF', 'കടിക്കുകയും/V_VM_VNF', 'മാന്തുകയും/V_VM_VNF', 'കീറുകയും/V_VM_VNF', 'മറ്റും/N_NN']",അടി,1,അടിക്കുക
"['അവരും/N_NN', 'കച്ചവടക്കാരും/N_NN', 'തമ്മിൽ/PR_PRC', 'പലപ്പോഴും/RB', 'അടിയും/N_NN', 'പിടിയും/N_NN', 'ശണ്ഠയും/N_NN', 'ഉണ്ടാവാറുണ്ട്/V_VM_VF']",അടി,1,അടിക്കുക
"['രണ്ടു/QT_QTC', 'ഭാഗക്കാരും/N_NN', 'തമ്മിൽ/PR_PRC', 'അടിയും/N_NN', 'പിടിയും/N_NN', 'വെട്ടും/N_NN', 'കുത്തും/V_VM_VF']",അടി,1,അടിക്കുക
"['അടി/N_NN', 'കൊണ്ട/V_VM_VNF_RP', 'ക്ഷണത്തിൽ/N_NN', 'എമ്പ്രാന്തിരി/N_NN', 'ബോധം/N_NN', 'കെട്ടു/V_VM_VF', 'നിലത്തു/N_NN', 'വീണു/V_VM_VF']",അടി,1,അടിക്കുക
"['മേലാൽ/CC_CCD', 'കുട്ടികളെ/N_NN', 'അടിക്കാതിരിക്കയും/V_VM_VNF', 'ചെയ്താൽ/N_NN', 'ഉണ്ണിയുണ്ടാകും/V_VM_VF']",അടി,1,അടിക്കുക
"['കുട്ടികളെ/N_NN', 'കഠിനമായി/RB', 'അടിക്കാറുള്ളതിനാൽ/V_VM_VNF', 'ഭട്ടതിരിയുടെ/N_NN', 'പ്രശ്നം/N_NN', 'വാസ്തവം/N_NN', 'ആയിരിക്കുമോ/V_VM_VNF', 'എന്നു/CC_CCS_UT', 'സംശയം/N_NN', 'തോന്നി/V_VM_VF']",അടി,1,അടിക്കുക
"['അടി/N_NN', 'കൊണ്ട/V_VM_VNF', 'ഉടനെ/RB', 'പശു/N_NN', 'വീണു/V_VM_VF', 'ചത്തു/N_NN']",അടി,1,അടിക്കുക
"['ശങ്കരൻ/N_NNP', 'പശുവിനെ/N_NN', 'അടി/N_NN', 'കൊണ്ട/V_VM_VNF_RP', 'സ്ഥാനം/N_NN', 'നോക്കി/V_VM_VNF_VBN', 'മനസ്സിലാക്കി/V_VM_VNF']",അടി,1,അടിക്കുക
"['പശു/N_NN', 'ആയാലും/V_VM_VNF', 'കാള/N_NN', 'ആയാലും/V_VM_VNF', 'പറഞ്ഞിട്ടു/V_VM_VF', 'കേട്ടില്ലെങ്കിൽ/V_VM_VNF', 'സ്ഥാനം/N_NN', 'നോക്കി/V_VM_VNF', 'ഒരടി/N_NN', 'കൊടുക്കും/V_VM_VF']",അടി,1,അടിക്കുക
"['അടി/N_NN', 'കൊണ്ടാൽ/N_NN', 'ഉടനെ/RB', 'മൃഗം/N_NN', 'വീണു/V_VM_VF', 'ചാകുകയും/V_VM_VNF']",അടി,1,അടിക്കുക
"['അരിവാൾ/PR_PRP', 'തേച്ച/V_VM_VNF_RP', 'പുലക്കള്ളി/N_NNP', 'രക്തം/N_NN', 'കണ്ട/V_VM_VNF_RP', 'സമയം/N_NN', 'മണ്ണുവാരി/N_NN', 'അടിച്ചതിനാൽ/V_VM_VNF', 'ആണ്/V_VM', 'സ്ഥലത്തിനു/N_NN', 'മണ്ണടി/N_NN', 'എന്നു/CC_CCS_UT', 'പേരു/N_NN', 'സിദ്ധിച്ചത്/V_VM_VF', 'ജനങ്ങൾ/N_NN']",അടി,1,അടിക്കുക
"['എന്താ/N_NNP', 'വടി/N_NN', 'കൊണ്ട്/PSP', 'വന്നിരിക്കുന്നത്/V_VM_VNF', 'എന്നെ/PR_PRP', 'അടിച്ച്/V_VM_VNF', 'ഓടിക്കാമെന്ന്/V_VM_VNF', 'വിചാരിച്ച്/V_VM_VNF', 'ആയിരിക്കും/V_VM_VNF', 'അല്ലേ/V_VM_VNF']",അടി,1,അടിക്കുക
"['അടി/N_NN', 'കൊള്ളുന്നതും/V_VM_VNF', 'ഓടുന്നതും/V_VM_VNF', 'ആരാണെന്ന്/V_VM_VNF', 'ഒടുക്കം/N_NN', 'നമുക്ക്/PR_PRP', 'അറിയാം/V_VM_VF']",അടി,1,അടിക്കുക
"['തുള്ളിക്കൊണ്ട്/N_NN', 'വടി/N_NN', 'വാങ്ങി/V_VM_VNF_VBN', 'തന്നെത്താൻ/V_VM_VNF_INF', 'അടി/N_NN']",അടി,1,അടിക്കുക
"['കഴിയുമ്പോൾ/V_VM_VNF', 'പിണിയാൾ/PR_PRP', 'തുള്ളി/N_NN', 'ചൂരൽവടി/N_NN', 'എടുത്തു/V_VM_VNF_VBN', 'തന്നെത്താൻ/V_VM_VNF_INF', 'അടിച്ച്/V_VM_VNF', 'തുടങ്ങും/V_VM_VF']",അടി,1,അടിക്കുക
"['ഉറക്കെ/RB', 'അട്ടഹസിച്ച്/V_VM_VNF', 'കൊണ്ട്/PSP', 'കൈ/N_NN', 'നിവർത്തി/V_VM_VF', 'നമ്പൂരിയുടെ/N_NN', 'ചെകിടത്ത്/N_NN', 'അടി/N_NN', 'വച്ചു/V_VM_VNF_VBN', 'കൊടുത്തിട്ട്/V_VM_VNF', 'ഇറങ്ങി/V_VM_VF', 'പോവുകയും/V_VM_VNF']",അടി,1,അടിക്കുക
"['നമ്പൂരി/N_NN', 'അടി/N_NN', 'കൊണ്ട/V_VM_VNF_RP', 'ക്ഷണത്തിൽ/N_NN', 'ബോധരഹിതൻ/N_NN', 'ആയി/V_VM_VNF', 'നിലത്ത്/N_NST', 'വീണു/V_VM_VF']",അടി,1,അടിക്കുക
"['നമ്പി/N_NN', 'ഉമിചാരം/N_NN', 'കൊണ്ട്/PSP', 'ചക്രം/N_NN', 'വരചിട്ട്/RD_RDF', 'ചൂരൽ/RD_RDF', 'വടിയെടുത്തു/N_NN', 'ജപിച്ച്/V_VM_VNF', 'ചക്രത്തിൽ/N_NN', 'മൂന്നടി/N_NN', 'അടിച്ചു/V_VM_VNF_VBN']",അടി,1,അടിക്കുക
"['ചെന്ന്/V_VM_VNF', 'ചെന്ന്/V_VM_VNF', 'വാർപ്പു/N_NN', 'അടിയിൽ/N_NN', 'വച്ചിട്ട്/V_VM_VNF', 'ഉടനെ/RB', 'കലി/N_NNP', 'അടങ്ങുകയും/V_VM_VNF']",അടി,1,അടിക്കുക
"['അവനേം/N_NN', 'ഇടിക്കും/N_NN', 'പളുങ്കന്\u200d/V_VM_VNF_INF', 'കൊച്ചു/V_VM_VF', 'കുഞ്ഞിനേം/RD_RDF', 'ഇടിക്കും/N_NN', 'ചൊണ/N_NN', 'ഉണ്ടേ/N_NNP', 'അവന്\u200d/N_NNP', 'വരട്ടെ/N_NN']",അടി,1,അടിക്കുക
"['അടിക്ക്\u200c/N_NN', 'അടി/N_NN', 'വെട്ടിനു/N_NN', 'വെട്ട്\u200c/V_VM_VF', 'കുത്തിനു/N_NN', 'കുത്തു/V_VM_VF', 'അതാണ്/DM', 'ന്യായം/N_NN']",അടി,1,അടിക്കുക
"['അടിയിലും/N_NN', 'ഇടിയിലും/N_NN', 'ആനവാരി/N_NN', 'ജയിക്കും/V_VM_VF']",അടി,1,അടിക്കുക
"['മുസല്\u200dമാന്മാര്\u200d/N_NN', 'തമ്മില്\u200d/PR_PRC', 'അടിയോട്/N_NN', 'അടുത്തു/N_NST']",അടി,1,അടിക്കുക
"['തമ്മില്\u200d/PR_PRC', 'തമ്മില്\u200d/PR_PRC', 'മഹത്തായ/JJ', 'ഉശിരന്\u200d/N_NNP', 'കൂട്ട/N_NN', 'അടിനടത്തിക്കളയാം/V_VM_VF']",അടി,1,അടിക്കുക
"['ആര്\u200dക്കും/DM_DMR', 'ആരെയും/PR_PRP', 'അടിക്കാം/V_VM_VF']",അടി,1,അടിക്കുക
"['പാതിരയ്ക്കുള്ള/JJ', 'ശുഭമുഹൂര്\u200dത്തത്തില്\u200d/N_NN', 'വയറു/V_VM_VF', 'നിറയെ/QT_QTF', 'എല്ലാവരും/QT_QTF', 'ശിക്കാര്\u200d/N_NN', 'അടിക്കും/V_VM_VF']",അടി,1,അടിക്കുക
"['അടിച്ച/V_VM_VNF', 'കൈ/N_NN', 'വാഴട്ടെ/V_VM_VNF', 'ഇന്ന്/N_NST', 'നിങ്ങൾ/N_NN', 'തലയിൽ/N_NN', 'കുളം/N_NN', 'തോണ്ടി/V_VM_VNF']",അടി,1,അടിക്കുക
"['ബാലകൃഷ്ണന്റെ/N_NN', 'പുറത്തിരുന്നു/V_VM_VF', 'കൊണ്ട്/PSP', 'അയപ്പൻപ്പിള്ള/JJ', 'ബാലകൃഷ്ണനെ/N_NN', 'ഒന്ന്/QT_QTC', 'അടിച്ചു/V_VM_VNF_VBN']",അടി,1,അടിക്കുക
"['അടി/N_NN', 'കൊണ്ട/V_VM_VNF_RP', 'ക്ഷണത്തിൽ/N_NN', 'ബാലകൃഷ്ണൻ/V_VM_VNF_INF', 'തടി/N_NN', 'വിട്ടിട്ടു/V_VM_VF', 'തല/N_NN', 'ഒന്നു/QT_QTC', 'കുടയുകയും/N_NN', 'മുമ്പോട്ടൊന്നു/V_VM_VF', 'തിരിയുകയും/V_VM_VNF']",അടി,1,അടിക്കുക
"['കയത്തിനു/N_NN', 'സമീപം/N_NST', 'ചെന്നപ്പോൾ/V_VM_VNF', 'പത്മനാഭപിള്ള/JJ', 'സ്ഥാനം/N_NN', 'നോക്കി/V_VM_VNF', 'ഒരടി/N_NN', 'വെച്ചുകൊടുത്തു/N_NN']",അടി,1,അടിക്കുക
"['അക്കാലം/N_NN', 'വരെ/PSP', 'ഒരിക്കൽ/RD_RDF', 'പോലും/PSP', 'അടി/N_NN', 'കൊണ്ടിട്ടില്ലാത്ത/JJ', 'ബാലകൃഷ്ണന്/N_NN', 'അത്യന്തം/N_NN', 'ദുസ്സഹം/N_NN', 'ആയിരുന്നു/V_VM_VF']",അടി,1,അടിക്കുക
"['അടിയുടെ/N_NN', 'വേദന/N_NN', 'സഹിക്കവയ്യാഞ്ഞിട്ട്/RD_RDF', 'ബാലകൃഷ്ണൻ/RD_RDF', 'തടിയോടു/N_NN', 'കൂടി/PSP', 'കയത്തിലേയ്ക്ക്/N_NN', 'ചാടി/N_NN']",അടി,1,അടിക്കുക
"['ബാലകൃഷ്ണൻ/N_NNP', 'കടുവയുടെ/N_NN', 'കാലും/N_NN', 'വാലും/N_NN', 'കൂട്ടിപ്പിടിച്ചെടുത്തു/N_NN', 'പാറപ്പുറത്തു/N_NN', 'അടി/N_NN', 'കൊടുത്തു/V_VM_VNF_VBN']",അടി,1,അടിക്കുക
"['ഗോവിന്ദശ്ശാർ/N_NN', 'ഒരിക്കലും/RB', 'തിരുനീലകണ്ഠനെ/N_NN', 'അടിക്കയും/V_VM_VNF', 'മറ്റും/N_NN', 'വേദനപ്പെടുത്തിയിട്ടില്ല/V_VM_VF']",അടി,1,അടിക്കുക
"['അടിക്കുന്നതിനും/N_NN', 'മറ്റും/N_NN', 'തിരുനീലകണ്ഠൻ/V_VM_VNF_INF', 'ഒരിക്കലും/N_NN', 'കാരണവും/N_NN', 'ഉണ്ടാക്കീട്ടില്ല/V_VM_VF']",അടി,1,അടിക്കുക
"['അടി/N_NN', 'കൊണ്ട/V_VM_VNF', 'ഉടനെ/RB', 'കൊട്ടാരം/N_NN', 'വക/N_NN', 'ആന/N_NN', 'ഉറക്കെ/RB', 'നിലവിളിച്ചു/V_VM_VF', 'കൊണ്ട്/PSP', 'ഓടി/RB', 'ചെന്നു/V_VM_VF', 'ബലിക്കൽപ്പുരയിൽ/N_NN', 'കയറി/V_VM_VNF_VBN', 'പേടിച്ചു/V_VM_VNF_VBN', 'വിറച്ചു/V_VM_VF', 'കൊണ്ടു/PSP', 'നിന്നു/PSP']",അടി,1,അടിക്കുക
"['തിരുനീലകണ്ഠൻ/N_NNP', 'പഴം/N_NN', 'പോലും/PSP', 'തിന്നാതെ/V_VM_VNF', 'ഇരിക്കുകയും/V_VM_VNF', 'വായിൽ/N_NN', 'വെച്ചു/V_VM_VF', 'കൊടുത്ത/V_VM_VNF_RP', 'പഴമെല്ലാം/N_NN', 'താഴെ/N_NST', 'വീഴുകയും/V_VM_VNF', 'ചെയ്യുന്നതു/V_VM_VNF', 'കണ്ട്/V_VM_VNF', 'ഗോവിന്ദശ്ശാർ/N_NN', 'മാറത്തടിച്ച്/V_VM_VNF', 'ഉറക്കെ/RB', 'കരഞ്ഞു/V_VM_VF']",അടി,1,അടിക്കുക
"['കൊട്ടാരം/N_NN', 'വക/N_NN', 'ആന/N_NN', 'തിരുനീലകണ്ഠനെ/N_NN', 'കുത്താനായി/N_NN', 'പാഞ്ഞു/V_VM_VNF_VBN', 'ചെന്ന/V_VM_VNF', 'സമയം/N_NN', 'തിരുനീലകണ്ഠൻ/V_VM_VNF_INF', 'സ്ഥാനം/N_NN', 'നോക്കി/V_VM_VNF_VBN', 'വടികൊണ്ട്/V_VM_VF', 'ഒരടി/N_NN', 'കൊടുത്തു/V_VM_VNF_VBN']",അടി,1,അടിക്കുക
"['ഉണ്ണിക്ക്/N_NN', 'ഭിക്ഷയിടുക/V_VM_VINF', 'ആണെങ്കിൽ/CC_CCS', 'ഇവളുടെ/N_NN', 'മുഖത്തു/N_NN', 'ചൂലെടുത്ത്/N_NN', 'അടിക്കും/V_VM_VF']",അടി,1,അടിക്കുക
"['നർമബോധം/N_NN', 'ഇല്ലായിരുന്നെങ്കിൽ/V_VM_VNF', 'ജീവിതത്തിൽ/N_NN', 'നേരിട്ട/JJ', 'അടികൾ/N_NN', 'അദ്ദേഹത്തെ/N_NN', 'പണ്ടേ/N_NNP', 'കൊന്നുകളയുമായിരുന്നു/V_VM_VF']",അടി,1,അടിക്കുക
